"﻿""Nombre Cóctel""",Puntuación Diffords,Cristalería (Glass),Ingredientes Originales,Adorno (Garnish),Método (How to make),Coste Estimado,Calorías,Grado Alcohólico (ABV),Historia / Curiosidades,Enlace Original
Man O' War,Difford’s Guide Discerning Drinkers (879 ratings),Serve in a Coupe glass,"- 45 ml Bourbon whiskey
- 15 ml De Kuyper Triple Sec (40%)
- 15 ml Strucchi Rosso Vermouth
- 15 ml Lemon juice (freshly squeezed)
- 2.5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix) optional
- 3 drop Saline solution (20g sea salt to 80g water) or merest pinch of s optional",EXPRESS lemon zest twist over the cocktail and float for garnish.,"SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,180 kcal,No especificado,"This cocktail is said to be named after an American thoroughbred who was one of the greatest racehorses in history, winning 20 of 21 races in 1919-20, so it is thought to have ""originated in the mid-20th century,"" which follows given the thoroughbred's period of notoriety. However, you'd think such a cocktail would also appear in one or more of the numerous cocktail tomes published in the mid-1930s and subsequent decades. Well, not that I can find. I may have missed the bleeding obvious, but until somebody (please) points me in the right direction, I will regard the Man O' War as a modern-day cocktail. American newspapers from 1915 do feature a ""man-o'-war cocktail"" but as The West Virginian reports on 24th July that year, this is a quite different cocktail ""...made by putting one can of condensed milk in a gallon of hot water; pouring one quart of alcohol over six well-beaten eggs, adding two cups of sugar and some nutmeg (if you can get it). The result is a concoction that tastes not unlike a Christmas egg-nog."" Or its name may have come from the ""Man-O-War cocktail lounge"" at the 120-room Holiday Inn, part of a ten-acre complex built on Route 132 in Cape Cod in 1969. Or, indeed, an entirely different ""Man-o'-War cocktail lounge"" at the New Edgewater Beach Hotel, which opened in 1967 in Broward County, Southeast Florida. However, the thoroughbred link is supported by The Indianapolis Star newspaper on 30th April 2015 as one of three ""Kentucky Derby Cocktails Done Right.""",https://www.diffordsguide.com/cocktails/recipe/4819/man-o-war
J & Tony's Hot Negroni,Difford’s Guide Discerning Drinkers (30 ratings),Serve in a Toddy glass,"- 15 ml Hayman's London Dry Gin
- 15 ml Strucchi Red Bitter (Campari-style liqueur)
- 15 ml Strucchi Rosso Vermouth
- 5 ml Lemon juice (freshly squeezed)
- 5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 80 ml Boiling water",Sin adorno específico,"Select and pre-heat a TODDY GLASS.
Prepare garnish of orange zest twist.
POUR all ingredients into pre-warmed heat-proof glass.
EXPRESS orange zest twist over the cocktail and use as garnish.",No especificado,108 kcal,No especificado,"Adapted from a recipe created in 2021 by Ewan Bennie at J & Tony's Discount Cured Meats And Negroni Warehouse in San Diego, California, USA. Originally made with Cocchi Storico Vermouth di Torino.",https://www.diffordsguide.com/cocktails/recipe/21824/j-and-tonys-hot-negroni
Old Flame,Difford’s Guide Discerning Drinkers (195 ratings),Serve in a Martini glass,"- 30 ml Hayman's London Dry Gin
- 15 ml De Kuyper Triple Sec (40%)
- 15 ml Strucchi Rosso Vermouth
- 15 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Orange juice (freshly squeezed)","EXPRESS flamed orange zest twist over cocktail, then use as garnish.","SHAKE all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,173 kcal,No especificado,"Adapted from a recipe created in 2001 by Dale DeGroff in New York, USA.",https://www.diffordsguide.com/cocktails/recipe/2721/old-flame
Marianito,Difford’s Guide Discerning Drinkers (58 ratings),Serve in an Old-fashioned glass,"- 75 ml Strucchi Rosso Vermouth
- 15 ml Hayman's London Dry Gin
- 15 ml Strucchi Red Bitter (Campari-style liqueur)
- 3 dash Angostura Aromatic Bitters
- 2 drop Saline solution (20g sea salt to 80g water) or merest pinch of s",EXPRESS orange zest over cocktail and skewer with olive to use as garnish.,"STIR all ingredients with ice.
STRAIN into ice-filled glass.",No especificado,184 kcal,No especificado,"Traditionally made with Spanish vermouth, the Marianito originated in northern Spain and remains especially popular in the Basque Country, La Rioja, and the city of Burgos. Properly known as a ""Marianito Preparado"", simply ordering a ""Marianito"" in many Spanish bars will often result in a small glass of vermouth being served instead.",https://www.diffordsguide.com/cocktails/recipe/29929/marianito
Adonis,Difford’s Guide Discerning Drinkers (56 ratings),Serve in a Coupe glass,"- 30 ml Lustau Palo Cortado Península Sherry
- 30 ml Lustau Amontillado Los Arcos Sherry
- 30 ml Strucchi Rosso Vermouth
- 2.5 ml Strucchi Red Bitter (Campari-style liqueur)","EXPRESS orange zest twist over the cocktail and discard.
Garnish with skewered olive.","THROW (or STIR) all ingredients with ice.
STRAIN into chilled glass.",No especificado,121 kcal,No especificado,"The first known mention of the Adonis in print is in the ""Pearls from Billy, the bartender"" column in New York's The Sun newspaper on 27th March 1887. The column describes three customers, ""three young bloods, with bell-crowned beavers of matchless sheen and silver-headed canes of ultra fashionable immensity who walk into the bar where Billy was bartending and order ""Three Adonis cocktails, please."" Billy proceeds the confidently make and serve them three cocktails which they drink, pay ""fifteen cents each"" for and leave. Then it becomes clear that Billy has no idea what an Adonis is. """"What on earth is an Adonis cocktail?"" asked the reporter who had watched the incident. ""Blessed if I know,"" said Billy, with an air of perfect frankness; ""but I wouldn't be much of a bartender if I let any customer bluff me off with any new-fangled name. I gave them what I always have known as a turf club cocktail, and it suited. The first principle of good bartending is to know how to make everything on earth in the drink line, no matter whether you have ever heard of it before or not."""" This irreverent column doesn't reveal what comprised an Adonis but it does tell us that it was a ""new-fangled"" cocktail at the time so dating its origin prior to 1897. It's another 16 years before the Adonis appears in a recipe book, Jacques Straub's 1913 Straub's Manual of Mixed Drinks establishing the recipe as two-thirds Italian (sweet) vermouth to one-third sherry with 2 dashes orange bitters.

The origins of the Adonis name appear in Albert Stevens Crockett's 1931 Old Waldorf Bar Days where, along with the recipe, he reveals that the cocktail is named after a Broadway musical. The Adonis opened at Hooley's Opera House in Chicago in the summer of 1884 before moving to New York's Bijou Theatre in September of that year, where after 603 performances, it became the longest-running Broadway show of the era. Crocket mentions two stars of the show, Henry E. Dixey who played Adonis and Fanny Ward who played Cupid. Both joined the show for its New York run so dating the Adonis cocktail's creation between late 1884 and 1887, most likely 1885/6.

Crocket stipulates equal proportions of sherry to Italian vermouth, quite different to Straub's vermouth heavy 1913 recipe but Crocket is in the minority with all other recipe books leaning towards Straub's two-thirds Italian (sweet) vermouth to one-third sherry. It is Harry Craddock, in his 1930 The Savoy Cocktail Book who upsets the established recipe by reversing the dominance of vermouth over sherry. Interestingly, Jacques Straub, and others, call this two-thirds dry sherry to one-third Italian vermouth recipe a ""Harvard Cocktail"". However, such is Cradock's influence that modern-day convention holds that this sherry-heavy recipe is an Adonis while a Harvard is a very different cognac-based cocktail.",https://www.diffordsguide.com/cocktails/recipe/18/adonis
Flying Scotsman,Difford’s Guide Discerning Drinkers (158 ratings),Serve in an Old-fashioned glass,"- 50 ml Blended Scotch whisky
- 45 ml Strucchi Rosso Vermouth
- 5 ml Sugar syrup 'rich' (2 sugar to 1 water, 65.0°Brix)
- 2 dash Angostura Aromatic Bitters",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,197 kcal,No especificado,"Named after what is perhaps the world's most famous steam locomotive, The Flying Scotsman set two world records, the first steam locomotive reach 100 miles per hour and the longest non-stop run by a steam locomotive (422 miles in 1989 whilst in Australia). The Flying Scotsman was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster and took its name from London to Edinburgh Flying Scotsman express service which it ran. This cocktail was apparently originally served to first-class passengers on board the train. Adapted from a recipe in Harry Craddock's 1930 The Savoy Cocktail Book.",https://www.diffordsguide.com/cocktails/recipe/776/flying-scotsman
Hearst Martini,Difford’s Guide Discerning Drinkers (40 ratings),Serve in a Martini glass,"- 45 ml Hayman's London Dry Gin from freezer
- 45 ml Strucchi Rosso Vermouth chilled
- 2 dash Orange Bitters by Angostura
- 1 dash Angostura Aromatic Bitters",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,168 kcal,No especificado,"Adapted from a recipe in Jacques Straub's 1913 Straub's Manual of Mixed Drinks. Supposedly a favourite of hacks who worked for the American newspaper magnate, William Randolph Hearst, and believed to have been created at New York's Waldorf-Astoria. It is nicknamed ""The Disgruntled Journalist"", perhaps in reference to the Journalist cocktail.",https://www.diffordsguide.com/cocktails/recipe/2684/hearst-martini
Italian G&T,Difford’s Guide Discerning Drinkers (73 ratings),Photographed in an Urban Bar Fluet Highball Gold Rim 45cl,"- 60 ml Hayman's London Dry Gin
- 15 ml Strucchi Red Bitter (Campari-style liqueur)
- 15 ml Strucchi Rosso Vermouth
- 90 ml Thomas Henry Tonic Water",EXPRESS orange zest twist over cocktail and use as garnish along with rosemary sprig.,"POUR all ingredients into chilled glass.
FILL glass with ice.",No especificado,225 kcal,No especificado,"Adapted from a recipe created in 2019 by Alex Smith at Whitechapel in San Francisco, USA.",https://www.diffordsguide.com/cocktails/recipe/22522/italian-gandt
Disco Mi-To,Difford’s Guide Discerning Drinkers (17 ratings),Photographed in an Urban Bar Retro Optic Coupette 15cl,"- 45 ml Ketel One Vodka
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 22.5 ml Strucchi Rosso Vermouth chilled
- 2 dash Orange Bitters by Angostura",EXPRESS lemon zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into chilled glass.",No especificado,187 kcal,No especificado,"Adapted from a recipe created by Sother Teague as an accompaniment to his dish, Penne Alla Vodka. This cocktail and accompanying dish were featured on Sother's Sauced podcast. (His original recipe called for vodka, Campari and Cocchi di Torino vermouth.)",https://www.diffordsguide.com/cocktails/recipe/39309/disco-mi-to
Americano,Difford’s Guide Discerning Drinkers (477 ratings),Serve in a Collins glass,"- 45 ml Strucchi Red Bitter (Campari-style liqueur)
- 45 ml Strucchi Rosso Vermouth
- 75 ml Thomas Henry Soda Water",Garnish with orange slice wheel.,"POUR all ingredients into ice-filled glass.
Briefly STIR.",No especificado,175 kcal,No especificado,"Meaning ""American-style"" in Italian, the name references this cocktail's origins. Italian vermouth producers, picking up on the trend for cocktails in the USA to be based on vermouth with bitters, started marketing vermouths with bitters already added under the name ""vermouth Americano."" Italian bars then started making their own versions by adding various bittersweet liqueurs, including Fernet Branca, to vermouth. Some also added soda to turn this cocktail into a long drink. Then the popularity of the Milano Torino led to red bitter liqueur (e.g. Campari) being used in preference to amari in an Americano. Mazzon Ferruccio's 1920 book Il Barista Guida del Barman, a ""collection of American and International Recipes"", includes two ""Americano"" recipes, a single serve and a ""Americano (grandi quantità)"" (large quantities). Both illustrate the Americano's origins as vermouth adjusted by adding bitters or bitter liqueurs and other flavourings such as ""5 drops of cognac"".",https://www.diffordsguide.com/cocktails/recipe/61/americano
Gin & It,Difford’s Guide Discerning Drinkers (133 ratings),Serve in a Coupe glass,"- 52.5 ml Hayman's London Dry Gin
- 22.5 ml Strucchi Rosso Vermouth
- 1 dash Orange Bitters by Angostura",EXPRESS lemon zest twist over cocktail (or garnish with orange wheel if serving on-the-rocks).,"STIR all ingredients with ice.
FINE STRAIN into chilled glass. (Or if serving on-the-rocks, strain into ice-filled old-fashioned glass, preferably over a large cube or chunk of block ice).",No especificado,151 kcal,No especificado,"Adapted from a recipe in Stanley M. Jones' 1977 Jones' Complete Barguide. ""It"" is short for Italian, a reference to the 'sweet' (rosso) vermouth, which was traditionally Italian, while French vermouth was dry. In his 2002 Craft of the Cocktail, Dale DeGroff states that the Gin and It was originally known as a Sweet Martini and as such was a popular drink during the 1880s and 1890s at the Hoffman House and other Manhattan bars. Later it became known as 'Gin & Italian', until during Prohibition it was shortened to 'Gin & It'. The first print reference to this cocktail by the ""Gin & It"" name appears in Frank Meier's 1936 The Artistry of Mixing Drinks. During American Prohibition, the Gin & It made its way to London, where due to the British love of gin, the Gin & It became a popular drink and pub staple. The popularity of the Gin & It waned along with both that of vermouth and gin in the late 1980s but is now enjoying a renaissance with a new generation of gin and vermouth drinkers.",https://www.diffordsguide.com/cocktails/recipe/833/gin-and-it
Milano,Difford’s Guide Discerning Drinkers (93 ratings),Serve in an Old-fashioned glass,"- 30 ml Ketel One Vodka
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth",Garnish with orange slice.,"STIR all ingredients with ice.
STRAIN into ice-filled glass.",No especificado,183 kcal,No especificado,Sin registro histórico,https://www.diffordsguide.com/cocktails/recipe/1325/milano
Scotch Negroni,Difford’s Guide Discerning Drinkers (142 ratings),Photographed in an UB Ginza Old Fashioned 10.5oz,"- 40 ml Blended Scotch whisky
- 30 ml Strucchi Rosso Vermouth
- 20 ml Strucchi Red Bitter (Campari-style liqueur)",Garnish with orange slice wheel.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,182 kcal,No especificado,See: Negroni history and variations,https://www.diffordsguide.com/cocktails/recipe/1759/scotch-negroni
Boulevardier Cocktail,Difford’s Guide Discerning Drinkers (757 ratings),Serve in an Old-fashioned glass,"- 45 ml Bourbon whiskey
- 22.5 ml Strucchi Rosso Vermouth
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)",EXPRESS orange zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,200 kcal,No especificado,"The Boulevardier first appears in Harry MacElhone's's 1927 Barflies and Cocktails. Not among the book's A-Z listing of recipes, but in a chapter titled ""Cocktails Round Town"", written by Arthur Moss, the ""Around the Town"" columnist of the New York Herald, Paris. Named and modelled after his newspaper column, Moss recounts cocktails created by or for other Harry's Bar regulars. Moss was one of a group of wealthy American ex-pats and self-titled Boulevardiers, in reference to their crawling the boulevards between Harry's and other leading Parisian night haunts. Moss, along with two other writers and socialites from the group, Erskine Gwynne and Jeff Kiley, co-founded a magazine they called Boulevardier. Moss had previously co-founded two other literary magazines, The Quill (1917) and Gargoyle (1921), the latter of which didn't survive a second year. However, The Quill, which focused on the artistic community in New York's Greenwich Village, had proved successful, particularly for Moss, as he married one of its editors, Florence Gilliam. The two moved to Paris in 1921. The Boulevardier, published in Paris from 1927 to 1932, was modelled after The New Yorker and featured an impressive roster of contributors, including the likes of Noël Coward, Sinclair Lewis and Ernest Hemingway. Among the cocktails Moss included in Harry's book was the Boulevardier, created by Erskine Gwynne, a nephew of railroad tycoon Alfred Vanderbilt. Crucially, Gwynne was, of course, one of the other cofounders of the Boulevardier magazine, which coincidently launched the same year Harry's book was published. Hence the cocktail's apt name.

See: Negroni cocktail history and how the Boulevardier fits in",https://www.diffordsguide.com/cocktails/recipe/2955/boulevardier-cocktail
Vermuttino,Difford’s Guide Discerning Drinkers (15 ratings),Serve in an Old-fashioned glass,"- 60 ml Strucchi Rosso Vermouth
- 60 ml Thomas Henry Soda Water",Sin adorno específico,POUR ingredients into chilled glass and fill with ice.,No especificado,92 kcal,No especificado,"Often described as ""the original Italian aperitif"", this mix of vermouth and soda originated in and remains popular in the bars of Turin, Italy, where the first commercial vermouth was produced in 1786.",https://www.diffordsguide.com/cocktails/recipe/29594/vermuttino
Red Manhattan,Difford’s Guide Discerning Drinkers (42 ratings),Serve in a Coupe glass,"- 60 ml Bourbon whiskey
- 30 ml Strucchi Rosso Vermouth
- 7.5 ml Claret wine (Bordeaux red)
- 5 ml Luxardo Maraschino liqueur
- 2 dash Angostura Aromatic Bitters",Garnish with maraschino cherry.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,213 kcal,No especificado,"Created in November 2010 by yours truly at the Cabinet Room, London, England.
Manhattan cocktail history",https://www.diffordsguide.com/cocktails/recipe/3016/red-manhattan
Four Poster Red,Difford’s Guide Discerning Drinkers (5 ratings),Serve in an Old-fashioned glass,"- 30 ml Strucchi Rosso Vermouth
- 30 ml Dolin Chamberyzette
- 30 ml Cockburn's Tawny Eyes Port
- 30 ml Strucchi Red Bitter (Campari-style liqueur)",Sin adorno específico,"Select and pre-chill an OLD-FASHIONED GLASS.
Prepare garnish of Luxardo Maraschino Cherry or strawberry.
STIR all ingredients with ice.
STRAIN into ice-filled glass (preferably over a large cube or chunk of block ice).",No especificado,179 kcal,No especificado,"Created March 2018 by yours truly at the Cabinet Room in London, England.",https://www.diffordsguide.com/cocktails/recipe/4570/four-poster-red
Redwood Heights,Difford’s Guide Discerning Drinkers (93 ratings),Photographed in an Urban Bar Alto Coupe 18cl,"- 3 dash La Fée Parisienne absinthe
- 60 ml Hayman's London Dry Gin
- 30 ml Strucchi Rosso Vermouth
- 15 ml Cynar or other carciofo amaro
- 1 dash Orange Bitters by Angostura",EXPRESS orange zest twist over the cocktail and use as garnish.,"RINSE chilled glass with absinthe and discard excess.
STIR other ingredients with ice.
STRAIN into absinthe-rinsed glass.",No especificado,206 kcal,No especificado,"Created in 2019 by David Blumberg, a fellow Discerning Drinker. Named after his home, the Redwood Heights district of Oakland, California.",https://www.diffordsguide.com/cocktails/recipe/32608/redwood-heights
Negroni Tredici,Difford’s Guide Discerning Drinkers (119 ratings),Serve in an Old-fashioned glass,"- 60 ml Hayman's London Dry Gin
- 7.5 ml Cynar or other carciofo amaro
- 7.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth","EXPRESS lemon zest twist over the cocktail and discard.
Garnish with orange wedge.","STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,208 kcal,No especificado,"Adapted from a drink created in 2009 by Toby Maloney of Alchemy Consulting, USA.
Negroni cocktail history and recipe variations",https://www.diffordsguide.com/cocktails/recipe/2826/negroni-tredici
Dutch Count Negroni / Red Light Negron,Difford’s Guide Discerning Drinkers (44 ratings),Serve in an Old-fashioned glass,"- 30 ml Oude genever
- 30 ml Strucchi Red Bitter (Campari-style liqueur)
- 30 ml Strucchi Rosso Vermouth",Garnish with orange slice.,"POUR ingredients into ice-filled glass.
STIR.",No especificado,165 kcal,No especificado,"Discovered in 2011 at Vesper Bar in Amsterdam, Netherlands, under the name Dutch Count Negroni. Due to its origins in Amsterdam, a city famous for its red light district, this cocktail is now better known as the Red Light Negroni. See: Negroni cocktail history.",https://www.diffordsguide.com/cocktails/recipe/3090/dutch-count-negroni-red-light-negron
1794,Difford’s Guide Discerning Drinkers (27 ratings),Photographed in an Urban Bar 1910 Retro Coupette 15cl,"- 45 ml Straight rye whiskey (100 proof /50% alc./vol.)
- 22.5 ml Strucchi Rosso Vermouth
- 22.5 ml Strucchi Red Bitter (Campari-style liqueur)
- 1 dash Xocolatl mole bitters optional","EXPRESS flamed orange zest twist over cocktail, then use as garnish.","STIR all ingredients with ice.
STRAIN into chilled glass.",No especificado,188 kcal,No especificado,"Adapted from a recipe created (originally without the addition of bitters) in 2004 by Dominic Venegas at Range in San Francisco, California.",https://www.diffordsguide.com/cocktails/recipe/36336/1794
Bamboo Cocktail (Stuart's 1904 recipe),Difford’s Guide Discerning Drinkers (26 ratings),Serve in a Coupe glass,"- 60 ml Lustau Jarana Fino Sherry
- 30 ml Strucchi Rosso Vermouth
- 1 dash Orange Bitters by Angostura",EXPRESS lemon zest twist over the cocktail and use as garnish.,"STIR all ingredients with ice.
FINE STRAIN into chilled glass.",No especificado,97 kcal,No especificado,"Adapted from a recipe in Thomas Stuart's 1904 Stuart's Fancy Drinks and How to mix them.
Bamboo Cocktail history.",https://www.diffordsguide.com/cocktails/recipe/4140/bamboo-cocktail-stuarts-1904-recipe
